param,param_mean,group,hdi_low,hdi_high,param_std
mu_Arew,0.7097587771813848,patient,-0.23171909244145317,-0.18170297888544584,0.011825574358913902
mu_Arew,0.5073366396657745,control,-0.2259546882727792,-0.18730915681787275,0.005726074968748696
mu_Arew,0.7139588270467472,patient,-0.2259546882727792,-0.18730915681787275,0.008579881961220198
mu_Arew,0.5087413900436148,control,-0.16994602088863986,-0.13263368607749315,0.0062934300308948345
mu_Arew,0.6599447020656773,patient,-0.16994602088863986,-0.13263368607749315,0.007595709298417993
mu_Arew,0.5758346436841801,control,-0.08264333691959069,-0.05095605948253912,0.005872544810587875
mu_Arew,0.6416555914554388,patient,-0.08264333691959069,-0.05095605948253912,0.006292552841217331
mu_Arew,0.5873506470332872,control,-0.10523524566426767,-0.06965028823834407,0.006619354630537481
mu_Arew,0.6741434389280344,patient,-0.10523524566426767,-0.06965028823834407,0.006645563278059227
mu_Arew,0.5282770029162099,control,-0.20523312316714382,-0.1562502976993938,0.005743913997571465
mu_Arew,0.7097587771813848,patient,-0.20523312316714382,-0.1562502976993938,0.011825574358913902
mu_Arew,0.5122786734386215,control,-0.23798317098179989,-0.19812192763886838,0.005001787723879347
mu_Arew,0.7306257510782461,patient,-0.23798317098179989,-0.19812192763886838,0.009488187188245595
mu_Arew,0.5191836858973559,control,-0.16473512951501634,-0.12212625079302808,0.006327936132477656
mu_Arew,0.663123658301734,patient,-0.16473512951501634,-0.12212625079302808,0.009380991572661682
mu_Arew,0.5648682450282358,control,-0.07941874694571482,-0.0432676199258234,0.005895182766019463
mu_Arew,0.6257599673427946,patient,-0.07941874694571482,-0.0432676199258234,0.00785412708256341
mu_Arew,0.5702236230341938,control,-0.13212730175344167,-0.08806368206824244,0.0065282241898604616
mu_Arew,0.6808413307353564,patient,-0.13212730175344167,-0.08806368206824244,0.010042666187006253
mu_Arew,0.5228437426517095,control,-0.26289250407134745,-0.21422610745529713,0.0061938442217968955
mu_Arew,0.7623742576328192,patient,-0.26289250407134745,-0.21422610745529713,0.011561758280202455
mu_Arew,0.5667178471361595,control,-0.13815568020656843,-0.09442584057727454,0.0062893722459743465
mu_Arew,0.6820073378577123,patient,-0.13815568020656843,-0.09442584057727454,0.009932565484705703
mu_Arew,0.5709907532883186,control,-0.21689382745124397,-0.16582820909160134,0.005405702196139758
mu_Arew,0.7616237101056393,patient,-0.21689382745124397,-0.16582820909160134,0.012500953134025614
mu_Arew,0.5023491505815926,control,-0.168175148107355,-0.12997522002394724,0.0061365809709188505
mu_Arew,0.6515098338293601,patient,-0.168175148107355,-0.12997522002394724,0.008071403090745936
mu_Arew,0.5667178471361595,control,-0.11754898791917456,-0.07484095489025022,0.0062893722459743465
mu_Arew,0.663123658301734,patient,-0.11754898791917456,-0.07484095489025022,0.009380991572661682
mu_Arew,0.4950894940331768,control,-0.17470436512968707,-0.14282955999499214,0.005542326478553331
mu_Arew,0.6544696624562274,patient,-0.17470436512968707,-0.14282955999499214,0.006685909525161556
mu_Arew,0.5247056383252511,control,-0.12760950178153863,-0.09369829698916654,0.005957485233192373
mu_Arew,0.6347203015788244,patient,-0.12760950178153863,-0.09369829698916654,0.006844538499332776
mu_Arew,0.5788261940950613,control,-0.15751813502692347,-0.11745839764818555,0.0069574258301544935
